campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2024-04-16,67,70,600,401,1928.87,75,2006
2,2023-04-06,15,73,600,400,825.62,132,45242
3,2023-09-13,89,82,604,403,3842.17,172,21472
4,2024-01-04,10,44,603,401,604.45,18,38675
5,2022-07-13,35,41,600,402,223.27,99,6379
6,2024-09-04,61,25,602,401,1328.82,64,3324
7,2022-03-30,87,88,604,400,3706.09,178,48403
8,2023-11-05,48,61,604,401,1204.64,117,48375
9,2023-12-10,79,95,600,402,828.48,58,1056
10,2023-07-31,46,73,602,403,602.02,88,7462
11,2023-04-04,78,92,600,403,3815.53,174,40934
12,2024-08-28,16,19,602,400,3117.2,76,42391
13,2022-05-10,35,10,600,403,1405.87,177,34421
14,2023-01-30,8,36,604,402,4869.23,132,49322
15,2023-11-07,70,63,600,402,2481.13,103,26516
16,2023-09-11,71,58,600,402,1298.13,34,43176
17,2022-09-29,10,57,604,402,4564.22,22,18059
18,2022-10-01,36,96,603,401,221.59,60,36803
19,2024-09-25,10,65,603,403,3475.11,116,16489
20,2022-09-27,30,77,603,400,1629.57,84,32640
21,2022-10-25,1,11,604,403,1941.35,162,48754
22,2024-11-05,58,29,602,401,3472.92,189,434
23,2023-11-15,40,2,602,401,874.44,140,1125
24,2022-06-08,16,13,604,400,3209.39,79,26499
25,2022-09-20,36,81,602,400,1643.06,152,20991
26,2023-08-15,3,5,602,400,1014.38,43,5032
27,2022-12-22,72,15,602,403,3505.1,70,24863
28,2024-02-07,32,75,603,401,1532.86,198,26615
29,2022-12-01,85,23,604,401,1457.68,125,31056
30,2023-08-03,39,89,604,403,4971.83,124,30089
31,2022-08-18,89,36,602,402,4192.3,123,42139
32,2022-12-23,45,6,603,401,2151.67,79,2262
33,2023-07-14,69,90,604,400,72.5,138,19873
34,2022-02-09,23,100,602,402,3309.17,163,22360
35,2024-06-27,64,1,600,402,882.15,57,49783
36,2023-11-29,86,2,603,401,345.43,172,31377
37,2022-04-10,89,10,603,403,648.86,113,17073
38,2022-05-07,30,68,600,402,432.15,14,3677
39,2022-02-07,71,99,603,403,603.68,139,21851
40,2024-07-08,30,91,604,400,270.12,101,1133
41,2022-07-04,15,78,602,403,2814.74,14,25578
42,2024-09-16,76,67,602,400,2687.84,29,42500
43,2024-12-11,100,18,602,400,1314.26,71,18398
44,2023-04-21,69,44,600,403,3495.52,7,21860
45,2023-02-06,54,2,604,403,728.49,102,16286
46,2023-02-07,25,98,603,403,1709.35,85,2664
47,2024-03-11,42,60,603,402,837.81,11,31716
48,2024-09-27,92,77,600,402,1566.96,188,18998
49,2024-12-23,28,59,600,400,4937.96,126,20371
50,2023-05-05,68,87,602,402,829.97,2,1555
51,2022-06-26,54,61,602,401,3546.2,52,31896
52,2023-09-09,73,42,602,403,1541.34,141,40532
53,2024-03-30,48,67,600,402,1402.08,12,5636
54,2023-12-15,67,3,604,403,1785.06,41,867
55,2022-11-21,34,63,604,400,3934.06,140,4576
56,2022-01-01,41,50,603,400,970.14,165,47439
57,2024-07-31,81,33,602,402,198.8,46,23097
58,2024-06-05,55,37,604,400,4179.89,4,26980
59,2023-02-11,15,82,604,403,2268.3,131,44692
60,2023-05-13,25,41,603,403,4172.89,6,10097
61,2023-10-04,94,67,604,402,2635.66,13,37900
62,2023-05-04,77,55,603,400,3468.44,111,6619
63,2023-11-30,23,80,604,400,3381.24,80,8032
64,2024-11-19,7,19,600,400,3488.2,12,12006
65,2022-09-16,17,33,600,403,1748.33,15,46867
66,2023-02-10,66,80,600,401,2181.08,5,2434
67,2022-12-18,16,59,603,403,4128.74,188,48377
68,2023-02-27,47,48,602,400,2498.89,13,26446
69,2023-05-08,35,89,603,403,1797.24,200,29207
70,2023-08-13,4,97,604,401,1859.24,44,20610
