sale_id,date,customer_key,product_key,sales_rep_key,region_key,vendor_key,amount,units
1,2022-08-17,26,95,71,401,229,1950.48,72
2,2022-06-28,605,55,9,400,96,1341.76,112
3,2022-02-24,575,26,184,403,226,5216.4,230
4,2022-01-14,778,21,179,403,349,1381.38,143
5,2023-11-21,105,12,98,400,368,6648.88,434
6,2023-06-26,827,6,187,403,550,2188.16,64
7,2024-02-15,81,71,76,402,592,2587.86,99
8,2022-04-04,678,30,198,402,82,5247.24,438
9,2022-07-26,390,36,117,402,167,2975.4,190
10,2023-07-01,719,88,166,400,624,3302.38,326
11,2023-05-17,168,60,98,402,948,8409.92,328
12,2023-03-26,702,42,197,400,235,2509.16,421
13,2023-10-09,411,35,17,401,936,10635.66,483
14,2023-10-07,218,84,128,403,906,11392.01,469
15,2022-10-20,272,18,64,402,765,5355.0,300
16,2024-03-28,371,29,36,403,94,2480.67,387
17,2022-08-13,157,81,41,403,611,545.82,33
18,2024-08-16,542,33,142,400,697,3122.8,370
19,2023-07-01,788,83,88,400,301,2172.02,223
20,2022-01-07,977,93,185,402,996,7160.02,257
21,2024-11-05,935,14,161,402,862,6635.44,328
22,2023-02-12,157,48,196,401,553,13868.04,489
23,2024-12-22,941,1,154,402,501,83.6,10
24,2024-01-14,900,40,62,400,247,9909.0,450
25,2022-06-11,88,94,125,400,779,7638.54,273
26,2022-09-20,676,61,141,401,272,8447.07,271
27,2024-05-16,988,28,139,401,731,2715.2,160
28,2024-02-04,449,67,116,400,254,802.72,116
29,2022-02-13,603,71,59,401,8,970.88,37
30,2022-05-01,235,9,9,402,73,3204.96,264
31,2024-09-21,220,70,34,403,249,7714.38,402
32,2024-04-13,195,13,25,403,363,3760.61,217
33,2022-04-21,690,84,166,400,63,5557.95,207
34,2022-08-12,255,25,49,403,144,2278.5,217
35,2024-08-05,256,10,114,400,52,11683.32,334
36,2022-01-31,993,12,193,401,171,4090.13,209
37,2023-03-14,886,52,16,401,389,69.12,2
38,2023-06-28,949,59,74,403,714,13217.72,491
39,2024-09-23,159,25,76,401,992,671.4,30
40,2022-05-05,766,41,15,400,599,4922.05,245
41,2024-12-23,162,8,131,400,872,677.76,96
42,2022-05-20,692,31,104,400,965,10073.04,456
43,2022-03-23,635,11,108,402,958,1491.42,134
44,2023-10-06,245,34,102,401,688,4634.0,331
45,2023-10-10,952,97,19,400,470,11149.05,319
46,2022-07-24,76,69,55,402,136,7394.66,478
47,2022-05-21,901,32,95,402,162,6752.25,225
48,2023-09-12,627,84,136,400,684,9067.16,419
49,2022-08-01,962,18,68,400,912,1499.85,55
50,2022-11-15,279,37,155,401,735,1955.36,176
51,2023-06-25,518,63,65,400,95,5755.75,325
52,2023-07-21,46,1,86,401,653,1329.75,135
53,2024-06-23,565,91,110,400,115,1300.65,39
54,2022-11-02,559,5,95,401,441,412.5,66
55,2024-01-17,921,6,92,401,699,3201.28,128
56,2023-12-26,799,72,105,401,948,5771.7,477
57,2022-11-29,1000,23,106,400,184,12371.94,378
58,2024-04-23,822,86,189,401,274,2346.84,82
59,2022-08-10,392,5,121,401,205,13638.45,419
60,2023-12-18,313,30,58,400,676,1678.05,99
61,2023-07-25,886,9,198,402,360,6672.12,329
62,2023-11-10,962,4,30,402,183,10096.24,298
63,2023-06-28,40,14,153,403,354,10692.66,374
64,2024-06-12,621,66,30,403,922,3167.2,296
65,2022-04-01,726,56,1,401,373,1569.1,221
66,2023-11-08,639,41,170,400,738,6458.61,461
67,2023-09-26,683,53,84,403,714,3287.76,152
68,2023-01-28,431,86,98,401,631,4096.76,292
69,2022-01-01,312,37,54,403,805,6890.4,297
70,2023-10-22,477,57,114,401,524,7000.83,243
71,2022-12-14,675,11,73,402,96,14095.2,420
