opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,1,ACC000316,Commande 1,Analyse,21679.22,76.2,2022-04-21,2021-12-12,Recommandation,Client Existant - Renouvellement,66
OPP00000002,2,ACC000302,Commande 2,Closed Won,18725.47,100.0,2023-06-17,2023-01-10,Demarchage,Client Existant - Reduction,94
OPP00000003,3,ACC000860,Commande 3,Proposition,14849.45,39.8,2022-08-15,2022-07-02,Site Web,Client Existant - Renouvellement,56
OPP00000004,4,ACC000041,Commande 4,Qualification,30574.59,38.5,2022-12-17,2022-04-16,Demarchage,Nouveau Client,
OPP00000005,5,ACC000431,Commande 5,Qualification,67312.43,16.9,2022-01-23,2021-10-22,Site Web,Client Existant - Reduction,29
OPP00000006,6,ACC000958,Commande 6,Analyse,12394.76,21.0,2023-04-14,2022-12-13,Site Web,Client Existant - Renouvellement,100
OPP00000007,7,ACC000372,Commande 7,Qualification,80166.21,20.9,2024-08-02,2024-04-21,Reseaux Sociaux,Client Existant - Extension,91
OPP00000008,8,ACC000208,Commande 8,Closed Won,52634.65,100.0,2024-04-07,2023-06-05,Reseaux Sociaux,Client Existant - Reduction,
OPP00000009,9,ACC000085,Commande 9,Qualification,45739.39,36.4,2023-07-30,2023-02-21,Recommandation,Client Existant - Extension,
OPP00000010,10,ACC000591,Commande 10,Closed Won,33027.38,100.0,2023-02-02,2022-10-21,Salon du Livre,Nouveau Client,38
OPP00000011,11,ACC000303,Commande 11,Analyse,23768.6,58.9,2025-04-08,2024-07-28,Reseaux Sociaux,Client Existant - Reduction,
OPP00000012,12,ACC000832,Commande 12,Proposition,6035.73,18.0,2021-09-29,2021-08-24,Recommandation,Client Existant - Reduction,
OPP00000013,13,ACC000538,Commande 13,Closed Won,22208.46,100.0,2021-10-31,2021-07-12,Demarchage,Nouveau Client,46
OPP00000014,14,ACC000935,Commande 14,Proposition,53716.36,40.1,2023-09-01,2023-06-16,Email,Client Existant - Extension,
